Model 1,Model 2,Both Correct (YY),M1 Correct / M2 Wrong (YN),M1 Wrong / M2 Correct (NY),Both Wrong (NN),Total,Chi-squared,p-value,Odds Ratio,CI_Lower_X,CI_Upper_Y,p_Bonferroni,p_Holm,Result_Raw,Result_Bonferroni,Result_Holm,Holm_Rank,Holm_Multiplier
U5,U4,0,58,0,3388,3446,56.01724137931034,7.183826028768954e-14,inf,,,2.5861773703568235e-12,6.465443425892059e-13,U5 is significantly better (p-value),U5 is significantly better (p_Bonferroni),U5 is significantly better (p_Holm),29,8
U5,autoph4,21,37,70,3318,3446,9.570093457943925,0.001977727141132864,0.5285714285714286,0.35488629565718927,0.7872599154178721,0.0711981770807831,0.003955454282265728,autoph4 is significantly better (p-value),Equivalent (p ≥ 0.05),autoph4 is significantly better (p_Holm),35,2
U5,dbautoph4,21,37,48,3340,3446,1.1764705882352942,0.27807568662088195,0.7708333333333334,0.502041491223325,1.1835357000671978,1.0,0.27807568662088195,Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),36,1
U5,elucidator,39,19,1336,2052,3446,1278.1225092250922,6.420047104290217e-280,0.014221556886227544,0.009042339702791183,0.02236729507140448,2.311216957544478e-278,1.540811305029652e-278,elucidator is significantly better (p-value),elucidator is significantly better (p_Bonferroni),elucidator is significantly better (p_Holm),13,24
U5,reversefp,13,45,2,3386,3446,37.53191489361702,8.992939488730375e-10,22.5,5.458218172612777,92.75004845723576,3.237458215942935e-08,5.395763693238225e-09,U5 is significantly better (p-value),U5 is significantly better (p_Bonferroni),U5 is significantly better (p_Holm),31,6
autoph4,dbautoph4,62,29,7,3348,3446,12.25,0.0004652581580710504,4.142857142857143,1.8148366997347287,9.45719540971988,0.016749293690557814,0.0015029880372022558,autoph4 is significantly better (p-value),autoph4 is significantly better (p_Bonferroni),autoph4 is significantly better (p_Holm),34,3
autoph4,elucidator,76,15,1299,2056,3446,1252.7313546423136,2.1159616129891733e-274,0.011547344110854504,0.0069411824715099445,0.019210149936525162,7.617461806761024e-273,4.866711709875099e-273,elucidator is significantly better (p-value),elucidator is significantly better (p_Bonferroni),elucidator is significantly better (p_Holm),14,23
autoph4,reversefp,14,77,1,3354,3446,72.11538461538461,2.029751313280765e-17,77.0,10.709371564339639,553.6272566863355,7.307104727810755e-16,2.4357015759369183e-16,autoph4 is significantly better (p-value),autoph4 is significantly better (p_Bonferroni),autoph4 is significantly better (p_Holm),25,12
dbautoph4,elucidator,64,5,1311,2066,3446,1294.0919452887538,2.1733370579021025e-283,0.0038138825324180014,0.001584769773483866,0.00917843097114777,7.824013408447569e-282,5.433342644755256e-282,elucidator is significantly better (p-value),elucidator is significantly better (p_Bonferroni),elucidator is significantly better (p_Holm),12,25
dbautoph4,reversefp,14,55,1,3376,3446,50.160714285714285,1.4165556723752678e-12,55.0,7.611005311246305,397.45078032334953,5.099600420550964e-11,9.915889706626874e-12,dbautoph4 is significantly better (p-value),dbautoph4 is significantly better (p_Bonferroni),dbautoph4 is significantly better (p_Holm),30,7
elucidator,reversefp,15,1360,0,2071,3446,1358.0007352941177,2.8122761376009236e-297,inf,,,1.0124194095363324e-295,7.311917957762401e-296,elucidator is significantly better (p-value),elucidator is significantly better (p_Bonferroni),elucidator is significantly better (p_Holm),11,26
